Table 2.4.5. Personal Consumption Expenditures by Type of Product
Table 2.4.5. Personal Consumption Expenditures by Type of Product
"Last Revised on: September 30, 2022"
Line,,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"            Personal consumption expenditures",4197.6,4452.0,4721.0,4962.6,5244.6,5536.8,5877.2,6283.8,6767.2,7073.8,7348.9,7740.7,8232.0,8769.1,9277.2,9746.6,10050.1,9891.2,10260.3,10698.9,11047.4,11363.5,11847.7,12263.5,12693.3,13233.6,13905.0,14392.7,14116.2,15902.6
2,Goods,1563.3,1642.3,1746.6,1815.5,1917.7,2006.5,2108.4,2287.1,2453.2,2525.6,2598.8,2722.6,2902.0,3082.9,3239.7,3367.0,3363.2,3180.0,3317.8,3518.1,3637.7,3730.0,3863.0,3923.0,3991.8,4159.4,4355.2,4473.5,4670.1,5496.5
3,"    Durable goods",508.1,551.5,607.2,635.7,676.3,715.5,779.3,855.6,912.6,941.5,985.4,1017.8,1080.6,1128.6,1158.3,1188.0,1098.8,1012.1,1049.0,1093.5,1144.2,1189.4,1242.1,1307.6,1345.2,1398.2,1470.7,1510.5,1646.8,2060.2
4,"        Motor vehicles and parts",204.8,224.7,249.8,255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401.5,409.3,410.0,394.9,400.6,343.3,318.6,344.5,365.2,396.6,417.5,442.0,475.3,484.3,502.2,520.9,517.0,533.9,688.7
5,"            New motor vehicles (55)",126.7,138.9,151.2,147.5,153.0,162.2,179.4,200.1,210.7,230.0,243.6,251.6,252.4,248.9,233.0,233.2,185.2,165.6,182.3,207.9,237.0,249.8,264.4,276.9,273.8,280.7,286.4,285.7,292.8,351.2
6,"            Net purchases of used motor vehicles (56)",49.4,55.0,64.9,72.9,82.9,91.7,101.4,109.6,110.7,112.0,116.1,105.8,109.8,110.5,108.5,111.2,102.7,100.1,105.6,96.6,96.3,102.3,110.8,128.6,138.9,148.0,159.1,153.8,161.4,243.0
7,"            Motor vehicle parts and accessories (58)",28.7,30.8,33.7,35.4,37.6,39.1,39.5,41.1,41.8,41.3,41.7,44.1,47.1,50.6,53.4,56.2,55.4,52.9,56.6,60.7,63.3,65.5,66.8,69.8,71.7,73.4,75.4,77.5,79.7,94.4
8,"        Furnishings and durable household equipment",124.3,131.4,140.5,146.7,153.5,160.5,173.6,191.2,208.1,214.9,225.9,235.2,254.3,271.3,283.6,283.5,264.3,238.3,240.9,246.9,253.9,263.6,276.2,294.2,308.5,322.8,346.0,360.5,411.9,495.0
9,"            Furniture and furnishings (parts of 31 and 32)",69.3,73.5,79.4,83.4,88.3,93.8,101.2,111.3,121.7,124.5,130.2,136.1,148.9,160.6,169.8,171.8,156.5,139.0,140.5,143.9,148.7,154.4,163.6,177.3,188.0,198.7,216.8,227.8,265.7,323.6
10,"            Household appliances (part of 33)",24.3,25.2,25.8,26.6,26.8,26.5,28.6,31.6,34.1,35.7,37.6,38.9,42.1,45.1,47.0,46.8,46.1,42.8,44.1,46.0,48.1,50.1,51.2,52.7,53.9,54.8,56.8,57.8,63.6,74.8
11,"            Glassware, tableware, and household utensils (34)",20.1,21.1,22.8,23.7,24.8,25.7,28.3,31.9,35.3,37.1,40.0,41.3,43.1,44.6,45.5,44.8,41.6,37.4,36.4,35.3,33.5,34.3,35.3,37.1,38.2,39.5,40.8,42.4,44.9,53.7
